word,label
1dollar,0
5dollars,1
8hour,2
9oclock,3
TRUE,4
a,5
abbreviate,6
about,7
above,8
absolutelynothing,9
accent,10
accept,11
access,12
accident,13
accomplish,14
accordion,15
accountant,16
achromatic,17
acquire,18
act,19
action,20
actor,21
add,22
addict,23
address,24
adjust,25
admire,26
admit,27
adopt,28
adult,29
advantage,30
advertise,31
africa,32
after,33
afternoon,34
again,35
against,36
age,37
agency,38
agreement,39
airplane,40
alarm,41
alaska,42
alcohol,43
align,44
alittlebit,45
all,46
all but,47
allgone,48
allofsudden,49
allover,50
allway,51
almost,52
alone,53
alphabet,54
alright,55
always,56
amazing,57
america,58
analyze,59
and,60
angel,61
angry,62
animal,63
animate being,64
announce,65
answer,66
any,67
anyone,68
apart,69
apparel,70
appear,71
apple,72
appointment,73
april,74
archeology,75
area,76
argue,77
arizona,78
arm,79
army,80
arrest,81
arrive,82
art,83
article,84
asia,85
ask,86
assembly,87
assign,88
assist,89
assistant,90
astronaut,91
at,92
athlete,93
atlanta,94
attention,95
attitude,96
audience,97
auditorium,98
aunt,99
australia,100
autism,101
automatic,102
average,103
avoid,104
awake,105
award,106
away,107
awkward,108
axe,109
b,110
baby,111
babysitter,112
bachelor,113
back,114
backbone,115
backout,116
backpack,117
backup,118
backyard,119
bacon,120
bad,121
badge,122
bag,123
bake,124
balance,125
bald,126
ball,127
balloon,128
banana,129
bandage,130
bandaid,131
bank,132
bar,133
barely,134
bark,135
baseball,136
baseballcap,137
basement,138
basic,139
basket,140
basketball,141
bat,142
batch,143
bath,144
bathroom,145
bathtub,146
battery,147
beach,148
beak,149
beanie,150
beans,151
bear,152
beard,153
beast,154
beat,155
beaver,156
because,157
become,158
bed,159
bedroom,160
bee,161
beer,162
before,163
beg,164
behavior,165
behind,166
believe,167
bell,168
belt,169
bend,170
benefit,171
berry,172
best,173
bet,174
better,175
between,176
bib,177
bicycle,178
big,179
bike,180
bind,181
binoculars,182
biology,183
bird,184
birth,185
birthday,186
bison,187
bitch,188
bite,189
biteonarm,190
black,191
blame,192
blank,193
blanket,194
bleed,195
bless,196
blind,197
blinds,198
blink,199
blond,200
blood,201
bloom,202
blouse,203
blow,204
blowcandle,205
blowmind,206
blue,207
blur,208
blush,209
board,210
boat,211
body,212
boil,213
boilingmad,214
bolt,215
bomb,216
bone,217
book,218
boots,219
bored,220
borrow,221
boss,222
boston,223
both,224
bother,225
bottle,226
bottom,227
bounce,228
bound,229
bow,230
bowl,231
bowling,232
bowtie,233
box,234
boxing,235
boy,236
boyfriend,237
bra,238
bracelet,239
brag,240
braids,241
braille,242
brain,243
brainstorm,244
brainwash,245
brave,246
bread,247
break,248
breakdown,249
breakfast,250
breaktime,251
breathe,252
brick,253
bridesmaid,254
bridge,255
bright,256
bring,257
bring down,258
brother,259
brown,260
brush,261
brute,262
buckle,263
budget,264
buffalo,265
bug,266
building,267
bull,268
bullshit,269
bumpy,270
bun,271
burn,272
burp,273
bury,274
bus,275
business,276
busted,277
busy,278
but,279
butter,280
butterfly,281
buy,282
bye,283
c,284
cabinet,285
cafeteria,286
cake,287
calculator,288
calendar,289
california,290
call,291
callattention,292
calltty,293
calm,294
camcorder,295
camel,296
camera,297
camping,298
can,299
canada,300
cancel,301
cancellation,302
cancer,303
candle,304
candy,305
cannon,306
cannot,307
canoe,308
cape,309
caption,310
capture,311
car,312
carbattery,313
cards,314
careful,315
carousel,316
carrot,317
carry,318
carve,319
castle,320
casual,321
cat,322
catapult,323
catch,324
category,325
catepillar,326
catholic,327
cause,328
ceiling,329
celebrate,330
celery,331
cellphone,332
cemetery,333
center,334
cereal,335
certificate,336
chain,337
chair,338
challenge,339
champ,340
champion,341
chance,342
change,343
channel,344
chaos,345
character,346
charge,347
chase,348
chat,349
cheap,350
cheat,351
check,352
cheek,353
cheer,354
cheerleader,355
cheese,356
cheesegrater,357
cherish,358
cherry,359
chew,360
chicago,361
child,362
children,363
chimney,364
chin,365
china,366
chocolate,367
choke,368
chop,369
chopsticks,370
christmas,371
church,372
churn,373
cigar,374
cigarette,375
circle,376
circuswheel,377
city,378
clap,379
clash,380
class,381
clause,382
claw,383
clean,384
clear,385
cleftchin,386
click,387
client,388
climbladder,389
clip,390
clock,391
close,392
closeeyes,393
closet,394
clothes,395
cloud,396
clown,397
clueless,398
coach,399
cocacola,400
cocaine,401
coconut,402
coffee,403
coins,404
cold,405
college,406
color,407
comb,408
come,409
comehere,410
comeout,411
comfortable,412
comment,413
committee,414
communication,415
community,416
commute,417
compass,418
complain,419
complex,420
computer,421
concept,422
concerned,423
conduct,424
confident,425
confidential,426
conflict,427
confused,428
congratulations,429
connection,430
consume,431
contact,432
contactlens,433
continue,434
contribute,435
convince,436
cook,437
cookie,438
cool,439
cooperate,440
copy,441
corkscrew,442
corn,443
corner,444
correct,445
cost,446
couch,447
cough,448
counselor,449
count,450
country,451
cousin,452
coverup,453
cow,454
cowboy,455
crack,456
cracker,457
cranky,458
crash,459
crawl,460
crazy,461
cream,462
create,463
creature,464
creditcard,465
crocodile,466
cross,467
crossheart,468
crown,469
crumple,470
cry,471
culture,472
cup,473
curious,474
curl,475
curlyhair,476
curtain,477
curtsey,478
cut,479
cut back,480
cut down,481
cute,482
cutremovevid,483
cycle,484
d,485
damn,486
dance,487
dancer,488
danger,489
dark,490
dart,491
date,492
daughter,493
day,494
deaf,495
deafschool,496
deal,497
death,498
decide,499
decline,500
decorate,501
dedicate,502
deep,503
deer,504
defeat,505
deflate,506
degree,507
delegate,508
deliberate,509
delicious,510
delinquent,511
demand,512
demote,513
dentist,514
deny,515
deodorant,516
department,517
dependon,518
depress,519
depth,520
desert,521
design,522
dessert,523
destroy,524
develop,525
devil,526
devour,527
diamond,528
diaper,529
dice,530
dictionary,531
die,532
different,533
differentsituation,534
dig,535
digup,536
dilemma,537
dinner,538
dinosaur,539
dip,540
director,541
dirty,542
disappear,543
disappoint,544
disconnect,545
discuss,546
dislike,547
disney,548
dispatch,549
disrupt,550
dissect,551
dissolve,552
distracted,553
dive,554
divide,555
divorce,556
dizzy,557
doctor,558
document,559
dodo,560
dog,561
doll,562
dolphin,563
dominant,564
donkey,565
dontfeellike,566
dontknow,567
dontlike,568
dontmind,569
dontwant,570
donut,571
door,572
dormitory,573
double,574
doubt,575
down,576
downhill,577
download,578
downsize,579
drag,580
dragon,581
draw,582
drawer,583
dream,584
dress,585
dresser,586
dressup,587
dribble,588
drill,589
drink,590
drip,591
drive,592
drop,593
drown,594
drug,595
drum,596
drunk,597
dry,598
dryer,599
duck,600
due,601
dumb,602
duty,603
dye,604
e,605
each,606
eagle,607
ear,608
early,609
earn,610
earring,611
earth,612
earthquake,613
easel,614
east,615
easter,616
easy,617
easytodo,618
eat,619
eclipse,620
edge,621
edit,622
effect,623
egg,624
eggbeater,625
ego,626
egypt,627
eight,628
either,629
electrician,630
elegance,631
elephant,632
elevator,633
eleven,634
email,635
embarrass,636
emotion,637
emphasis,638
empty,639
end,640
enemy,641
energy,642
engagement,643
engineer,644
enginestart,645
english,646
enjoy,647
enough,648
enter,649
envelope,650
environment,651
equal,652
erase,653
eraser,654
erupt,655
escalate,656
escalator,657
escape,658
europe,659
evaluate,660
even,661
event,662
everyday,663
everynight,664
everything,665
everyyear,666
evidence,667
example,668
excited,669
excuse,670
exercise,671
expect,672
expensive,673
experience,674
experiment,675
expert,676
explanation,677
explode,678
express,679
eyeglasses,680
eyes,681
eyesawake,682
eyeturn,683
f,684
face,685
faculty,686
fade,687
fail,688
faint,689
fair,690
fake,691
fall,692
fallingasleep,693
family,694
famous,695
fan,696
fantasy,697
far,698
farm,699
fascinated,700
fashion,701
fast,702
fat,703
father,704
faucet,705
fault,706
favorite,707
february,708
feed,709
feedback,710
feel,711
fence,712
fencing,713
few,714
fiance,715
fifth,716
fight,717
figure,718
file,719
fillout,720
film,721
filter,722
finally,723
finance,724
find,725
fine,726
finger,727
fingerspell,728
fingerspelling,729
finish,730
fins,731
fire,732
fired,733
fireman,734
first,735
fish,736
fishing,737
fit,738
fix,739
flag,740
flashlight,741
flip,742
flipflops,743
flipswitch,744
float,745
floor,746
flower,747
flute,748
fly,749
focus,750
fold,751
follow,752
fond,753
fool,754
football,755
for,756
forbid,757
foreigner,758
forest,759
forever,760
forfeit,761
forgetful,762
fork,763
form,764
former,765
foul,766
four,767
fourth,768
fox,769
fraction,770
frame,771
france,772
fraud,773
freakout,774
freckles,775
free,776
freedom,777
freeway,778
freeze,779
french,780
frenchfries,781
friday,782
friend,783
friendly,784
friendsnomore,785
fringe,786
frisk,787
frog,788
from,789
front,790
frown,791
fruit,792
frustrate,793
fry,794
full,795
fun,796
function,797
funny,798
furniture,799
future,800
g,801
gallaudet,802
gamble,803
game,804
garage,805
garlic,806
gas,807
gate,808
gay,809
generation,810
germany,811
gesture,812
get,813
get down,814
getinbed,815
getthrough,816
gettogether,817
ghost,818
gift,819
giraffe,820
girl,821
give,822
giveup,823
glass,824
glasses,825
glove,826
gloves,827
glow,828
glue,829
go,830
goal,831
goat,832
goatee,833
gobackandforth,834
god,835
goingthroughahardtime,836
gold,837
golf,838
gone,839
good,840
good deal,841
goodygoody,842
goosebumps,843
gorilla,844
gossip,845
gothrough,846
gotojail,847
government,848
grab,849
grade,850
graduate,851
grammar,852
grandfather,853
grandmother,854
grapes,855
grasp,856
grass,857
gray,858
great,859
great deal,860
greece,861
green,862
greet,863
grenade,864
grieve,865
grind,866
ground,867
group,868
grow,869
guess,870
guide,871
guillotine,872
guilty,873
guitar,874
gullible,875
gum,876
gun,877
gym,878
h,879
habit,880
hair,881
haircut,882
hairdresser,883
hairdryer,884
half,885
hall,886
halloween,887
hamburger,888
hammer,889
hamster,890
handcuffs,891
hands,892
handsoap,893
handsome,894
hang,895
hanukkah,896
happen,897
happy,898
hard,899
hardofhearing,900
harmonica,901
harp,902
hat,903
hatch,904
hate,905
hatful,906
have,907
hawaii,908
he,909
head,910
headache,911
headcold,912
headgrind,913
headphones,914
health,915
heap,916
hear,917
hearing,918
hearingaid,919
heart,920
heartbody,921
heaven,922
heavy,923
helicopter,924
hell,925
hello,926
helmet,927
help,928
hen,929
here,930
hide,931
high,932
highlighter,933
highschool,934
hinge,935
hippo,936
his,937
history,938
hit,939
hitchhike,940
hockey,941
hoe,942
hold,943
holdaccountable,944
holdhands,945
holdtogether,946
holiday,947
holy,948
home,949
homework,950
honest,951
honey,952
honk,953
honor,954
hood,955
hoodie,956
hop,957
hope,958
horrible,959
horse,960
hose,961
hospital,962
hot,963
hotdog,964
hotel,965
hour,966
house,967
how,968
howl,969
hug,970
humble,971
hummingbird,972
humor,973
hundred,974
hungry,975
hunt,976
hurdle-trip,977
hurricane,978
hurry,979
hurt,980
husband,981
hypocrite,982
i,983
ice,984
icecream,985
idea,986
identity,987
if,988
ignore,989
imagine,990
immature,991
immerse,992
impact,993
important,994
impossible,995
impress,996
improve,997
in,998
inch,999
incredible,1000
independent,1001
indian,1002
inept,1003
infection,1004
influence,1005
inhale,1006
inject,1007
innocent,1008
inside,1009
inspire,1010
inspiring,1011
instagram,1012
instead,1013
instinct,1014
institute,1015
insult,1016
insurance,1017
intelligent,1018
intentional,1019
interest,1020
interested,1021
internet,1022
interpret,1023
interpreter,1024
intervene,1025
interview,1026
introduce,1027
intuitive,1028
invest,1029
invisible,1030
invite,1031
iphone,1032
iron,1033
island,1034
isolated,1035
israel,1036
italy,1037
itch,1038
j,1039
jacket,1040
japan,1041
jar,1042
jealous,1043
jelly,1044
jellyfish,1045
jewelry,1046
jewish,1047
jigsawpuzzle,1048
job,1049
join,1050
joke,1051
journey,1052
judge,1053
juggle,1054
juice,1055
jump,1056
junior,1057
just about,1058
k,1059
kangaroo,1060
keep,1061
key,1062
keyboard,1063
kick,1064
kid,1065
kill,1066
kindergarten,1067
king,1068
kiss,1069
kissfist,1070
kitchen,1071
kite,1072
kitten,1073
kneel,1074
knife,1075
knight,1076
knitting,1077
knock,1078
know,1079
l,1080
label,1081
lamp,1082
land,1083
language,1084
laptop,1085
large,1086
last,1087
late,1088
later,1089
laugh,1090
law,1091
lawnmower,1092
lawyer,1093
laydown,1094
lazy,1095
lead,1096
leaf,1097
league,1098
leak,1099
learn,1100
learnlesson,1101
leather,1102
leave,1103
leavealone,1104
lecture,1105
left,1106
lemon,1107
lend,1108
lesbian,1109
less,1110
lesson,1111
letgo,1112
letmesee,1113
letter,1114
lettuce,1115
library,1116
license,1117
lick,1118
lickenvelope,1119
lie,1120
lift,1121
light,1122
lighter,1123
lightning,1124
like,1125
line,1126
linguistics,1127
lion,1128
lipread,1129
lipstick,1130
list,1131
listen,1132
live,1133
livingroom,1134
load,1135
lobster,1136
lock,1137
locker,1138
lollipop,1139
lonely,1140
long,1141
longline,1142
longword,1143
lookappearance,1144
lookat,1145
lose,1146
losegame,1147
lost,1148
lot,1149
loud,1150
lousy,1151
love,1152
loyal,1153
luck,1154
lucky,1155
lunch,1156
lungs,1157
m,1158
machine,1159
mad,1160
magazine,1161
magic,1162
magnet,1163
magnify,1164
maid,1165
mail,1166
mailman,1167
mainstream,1168
major,1169
make,1170
man,1171
manage,1172
many,1173
maple,1174
march,1175
marionette,1176
marry,1177
mascara,1178
massage,1179
match,1180
math,1181
maybe,1182
mcdonalds,1183
me,1184
mean,1185
measure,1186
meat,1187
mechanic,1188
medicine,1189
meditate,1190
meet,1191
meeting,1192
megaphone,1193
melon,1194
melt,1195
member,1196
memorize,1197
memorizememorize,1198
mention,1199
mess,1200
metal,1201
metaphor,1202
mexican,1203
mickle,1204
microphone,1205
microscope,1206
microwave,1207
middle,1208
milk,1209
mime,1210
mind,1211
mindturned,1212
mine,1213
minimum,1214
mint,1215
minute,1216
mirror,1217
mischievous,1218
miss,1219
misunderstand,1220
mix,1221
mock,1222
model,1223
monday,1224
money,1225
monkey,1226
monster,1227
month,1228
moon,1229
moose,1230
mop,1231
more,1232
morning,1233
mosquito,1234
most,1235
mother,1236
motivation,1237
motorcycle,1238
mountain,1239
mouse,1240
mouth,1241
move,1242
movedown,1243
movie,1244
much,1245
muckle,1246
mummy,1247
murder,1248
muscle,1249
museum,1250
mushroom,1251
music,1252
must,1253
mustache,1254
my,1255
myself,1256
n,1257
nail,1258
nailclipper,1259
naked,1260
name,1261
napkin,1262
navel,1263
navy,1264
near,1265
nearly,1266
neck,1267
necklace,1268
need,1269
needle,1270
negative,1271
nephew,1272
nerve,1273
net,1274
network,1275
neutral,1276
never,1277
new,1278
newspaper,1279
next,1280
nice,1281
niece,1282
nigh,1283
night,1284
nine,1285
no,1286
noise,1287
none,1288
nonsense,1289
noon,1290
noose,1291
normal,1292
north,1293
nose,1294
nosebleed,1295
not,1296
notathing,1297
nothing,1298
notinterested,1299
notusedto,1300
notyet,1301
now,1302
nurse,1303
nut,1304
o,1305
obsess,1306
obvious,1307
ocean,1308
octopus,1309
off,1310
offend,1311
offhand,1312
office,1313
offthepoint,1314
often,1315
oil,1316
ok,1317
old,1318
on,1319
once,1320
one,1321
onemore,1322
onion,1323
onlyone,1324
ooh,1325
oops,1326
open,1327
opinion,1328
opportunity,1329
option,1330
or,1331
oral,1332
orange,1333
orangeeyes,1334
orangethroat,1335
order,1336
organization,1337
ostrich,1338
other,1339
our,1340
out,1341
outside,1342
over,1343
overlook,1344
overnight,1345
overtake,1346
overwhelmed,1347
owe,1348
owl,1349
own,1350
p,1351
pack,1352
page,1353
pageant,1354
pain,1355
paint,1356
paintbrush,1357
pair,1358
pancake,1359
pants,1360
paper,1361
papercutter,1362
parachute,1363
parade,1364
paragraph,1365
parallel,1366
parents,1367
park,1368
party,1369
pass,1370
passout,1371
passport,1372
past,1373
patient,1374
pay,1375
peace,1376
peach,1377
peacock,1378
pear,1379
peas,1380
peck,1381
peekaboo,1382
peel,1383
peg,1384
pen,1385
pencil,1386
penguin,1387
penis,1388
penny,1389
people,1390
pepper,1391
pepsi,1392
perceive,1393
percent,1394
perfect,1395
perfume,1396
period,1397
permission,1398
persistent,1399
person,1400
perspective,1401
persuade,1402
pet,1403
pharmacist,1404
philadelphia,1405
philosophy,1406
phone,1407
photography,1408
physics,1409
piano,1410
pick,1411
pickle,1412
picnic,1413
picture,1414
pie,1415
pig,1416
pile,1417
pill,1418
pillow,1419
pinch,1420
pineapple,1421
pink,1422
pipe,1423
pirate,1424
pissedoff,1425
pitcher,1426
pity,1427
pizza,1428
pizzacutter,1429
place,1430
plain,1431
plan,1432
planet,1433
plant,1434
plate,1435
platform,1436
play,1437
players,1438
playground,1439
please,1440
plenty,1441
pliers,1442
plow,1443
plug,1444
plummet,1445
plunger,1446
plus,1447
point,1448
pointindex,1449
pole,1450
policeman,1451
policy,1452
polish,1453
ponder,1454
poop,1455
poor,1456
pop,1457
popcorn,1458
pope,1459
popular,1460
porcupine,1461
positive,1462
possible,1463
possum,1464
postpone,1465
potato,1466
pour,1467
powder,1468
power,1469
practice,1470
prayer,1471
preacher,1472
precious,1473
predict,1474
prefer,1475
pregnant,1476
present,1477
president,1478
press,1479
pretend,1480
pretty,1481
price,1482
pride,1483
priest,1484
prince,1485
principal,1486
print,1487
priority,1488
prison,1489
problem,1490
process,1491
producesign,1492
program,1493
project,1494
promise,1495
promote,1496
proof,1497
propeller,1498
propose,1499
protection,1500
protest,1501
provide,1502
psychologist,1503
psychology,1504
public,1505
pull,1506
pullconvince,1507
pumpkin,1508
punish,1509
purple,1510
push,1511
put,1512
puzzled,1513
q,1514
qm,1515
quality,1516
quarter,1517
queen,1518
quiet,1519
quit,1520
quite a little,1521
r,1522
rabbit,1523
race,1524
radio,1525
raft,1526
rag,1527
rain,1528
rainbow,1529
raisin,1530
rake,1531
range,1532
rat,1533
razor,1534
reach,1535
react,1536
read,1537
ready,1538
really,1539
reason,1540
recent,1541
recite,1542
record,1543
recording,1544
red,1545
reduce,1546
reflect,1547
refrigerator,1548
refuse,1549
register,1550
regular,1551
relationship,1552
relax,1553
release,1554
relief,1555
religion,1556
remember,1557
remind,1558
remotecontrol,1559
remove,1560
replace,1561
request,1562
rescue,1563
research,1564
resent,1565
resign,1566
resist,1567
respect,1568
responsibility,1569
rest,1570
restallday,1571
restaurant,1572
restless,1573
result,1574
retire,1575
retrieve,1576
revenge,1577
rhino,1578
rich,1579
ride,1580
right,1581
ring,1582
risk,1583
river,1584
road,1585
roar,1586
roast,1587
rob,1588
robot,1589
rock,1590
rocket,1591
rockingchair,1592
role,1593
roll,1594
roof,1595
room,1596
roommate,1597
rooster,1598
rope,1599
rose,1600
rough,1601
row,1602
rude,1603
ruin,1604
rule,1605
ruler,1606
run,1607
rush,1608
russia,1609
s,1610
sad,1611
safe,1612
sail,1613
sailboat,1614
salad,1615
salt,1616
saltshaker,1617
same,1618
samesame,1619
sametime,1620
sandwich,1621
santa,1622
sarcastic,1623
saturday,1624
sauce,1625
sausage,1626
save,1627
saw,1628
saxophone,1629
scan,1630
scarcely,1631
scared,1632
scarf,1633
school,1634
science,1635
scientist,1636
scissors,1637
scold,1638
scoop,1639
score,1640
scout,1641
scratch,1642
scream,1643
screwdriver,1644
script,1645
scrub,1646
sculpt,1647
sculpture,1648
seal,1649
secret,1650
secretary,1651
see,1652
seem,1653
seesee,1654
select,1655
self,1656
sell,1657
senate,1658
send,1659
sensitive,1660
sentence,1661
separate,1662
sequence,1663
serious,1664
serve,1665
set,1666
set up,1667
setup,1668
seven,1669
several,1670
sew,1671
shake,1672
shame,1673
shampoo,1674
shape,1675
share,1676
shark,1677
sharp,1678
sharpen,1679
shave,1680
sheep,1681
shelf,1682
shield,1683
shiny,1684
shirt,1685
shocked,1686
shoes,1687
shoot,1688
shooting,1689
shop,1690
shortdistance,1691
shortperson,1692
shorts,1693
shot,1694
should,1695
shoulder,1696
shout,1697
shovel,1698
show,1699
shower,1700
shrimp,1701
shy,1702
sick,1703
side,1704
sideburns,1705
sign,1706
signature,1707
silly,1708
silver,1709
since,1710
sing,1711
single,1712
sink,1713
siren,1714
sister,1715
sit,1716
situation,1717
six,1718
skate,1719
skateboarding,1720
ski,1721
ski-ca,1722
skill,1723
skin,1724
skirt,1725
skunk,1726
slave,1727
sled,1728
sleep,1729
slew,1730
slice,1731
slide,1732
slingshot,1733
slip,1734
slipper,1735
slow,1736
small,1737
smart,1738
smell,1739
smellmoney,1740
smile,1741
smoke,1742
smoking,1743
smooth,1744
snail,1745
snake,1746
snap,1747
sneakadventure,1748
sneeze,1749
snob,1750
snorkel,1751
snow,1752
snowboard,1753
snowman,1754
snowsuit,1755
so,1756
soap,1757
soccer,1758
social,1759
socialize,1760
society,1761
socks,1762
soda,1763
sofa,1764
soft,1765
softball,1766
some,1767
somersault,1768
something,1769
sometimes,1770
son,1771
soon,1772
sophisticated,1773
sophomore,1774
sorry,1775
sound,1776
soup,1777
sour,1778
south,1779
sow,1780
space,1781
spaceship,1782
spaghetti,1783
spain,1784
spate,1785
speakers,1786
special,1787
specialist,1788
specific,1789
spend,1790
spicy,1791
spider,1792
spill,1793
spitout,1794
spontaneous,1795
spoon,1796
sports,1797
spotsomething,1798
spread,1799
spring,1800
square,1801
squareidiot,1802
squeeze,1803
squirrel,1804
sshh,1805
stack,1806
stadium,1807
staff,1808
stairs,1809
stamp,1810
stand,1811
stand-up,1812
stapler,1813
star,1814
starbucks,1815
stare,1816
stars,1817
start,1818
state,1819
stay,1820
stayawake24hrs,1821
steak,1822
steal,1823
steam,1824
step,1825
stethoscope,1826
sticky,1827
still,1828
stimulate,1829
sting,1830
stink,1831
stir,1832
stockings,1833
stomach,1834
stop,1835
stopwatch,1836
story,1837
straight,1838
strain,1839
strange,1840
strangle,1841
straw,1842
strawberry,1843
street,1844
stress,1845
stretch,1846
strict,1847
string,1848
stripe,1849
strong,1850
structure,1851
struggle,1852
stubborn,1853
stuck,1854
student,1855
study,1856
stumble,1857
stupid,1858
subtract,1859
suck,1860
suckthumb,1861
suit,1862
summarize,1863
summer,1864
summon,1865
sun,1866
sunbathe,1867
sunday,1868
sunrise,1869
sunset,1870
superior,1871
supervise,1872
supervisor,1873
support,1874
sure,1875
surf,1876
surgeon,1877
surgery,1878
surprise,1879
sushi,1880
suspect,1881
suspend,1882
suspenders,1883
swallow,1884
sweat,1885
sweater,1886
sweatpants,1887
sweep,1888
sweet,1889
sweetheart,1890
swim,1891
swing,1892
switzerland,1893
sword,1894
sympathy,1895
system,1896
t,1897
table,1898
tablet,1899
tail,1900
take,1901
takecare,1902
takenotes,1903
takeoff,1904
talk,1905
tall,1906
tan,1907
tape,1908
taste,1909
tea,1910
teach,1911
teacher,1912
team,1913
tear,1914
tearrip,1915
tease,1916
technology,1917
teenager,1918
teeth,1919
tell,1920
temperblowup,1921
temptation,1922
tendency,1923
tendyour,1924
tennis,1925
tent,1926
test,1927
text,1928
than,1929
thanksgiving,1930
thankyou,1931
that,1932
then,1933
theory,1934
therapy,1935
there,1936
thermometer,1937
these,1938
they,1939
thief,1940
thin,1941
things,1942
think,1943
thinkchin,1944
thinkconnect,1945
thinkover,1946
thinkponder,1947
third,1948
thirsty,1949
three,1950
thrilled,1951
throw,1952
thunder,1953
thursday,1954
ticket,1955
tickle,1956
tidy sum,1957
tie,1958
tieup,1959
tiger,1960
time,1961
timetotime,1962
tiny,1963
tired,1964
tiredof,1965
tissue,1966
to,1967
toast,1968
tobacco,1969
today,1970
together,1971
toilet,1972
tomato,1973
tomorrow,1974
tongue,1975
toomuch,1976
toothbrush,1977
top,1978
topic,1979
tornado,1980
toss,1981
total,1982
touch,1983
tough,1984
tournament,1985
tow,1986
towel,1987
toy,1988
tractor,1989
tradition,1990
traffic,1991
train,1992
transfer,1993
transgender,1994
translate,1995
trash,1996
travel,1997
tree,1998
triangle,1999
trim,2000
trim back,2001
trim down,2002
trip,2003
triple,2004
trophy,2005
trouble,2006
truck,2007
truth,2008
try,2009
tty,2010
tube,2011
tuesday,2012
turban,2013
turkey,2014
turn,2015
turnaround,2016
turnkey,2017
turtle,2018
tv,2019
twins,2020
twirl,2021
two,2022
twomore,2023
type,2024
u,2025
udder,2026
ugly,2027
umbrella,2028
unaware,2029
uncertain,2030
uncle,2031
under,2032
undergraduate,2033
understand,2034
underwear,2035
unicorn,2036
unique,2037
universe,2038
university,2039
until,2040
up,2041
upload,2042
upset,2043
us,2044
use,2045
v,2046
vacation,2047
vacuum,2048
vagina,2049
vain,2050
validate,2051
valley,2052
value,2053
vampire,2054
vanilla,2055
vanish,2056
vegetable,2057
verb,2058
very,2059
veryinterested,2060
vest,2061
vibrate,2062
videocamera,2063
videophone,2064
view,2065
village,2066
violin,2067
virtually,2068
vision,2069
visit,2070
visitor,2071
visualize,2072
vitamins,2073
vlog,2074
vocabulary,2075
voice,2076
volleyball,2077
volunteer,2078
vomit,2079
vote,2080
w,2081
wad,2082
wade,2083
wait,2084
waiter,2085
walk,2086
walk-tightrope-cl,2087
wall,2088
wallet,2089
walrus,2090
wand,2091
wander,2092
want,2093
war,2094
warm,2095
warn,2096
wash,2097
washdishes,2098
washface,2099
washhands,2100
washmachine,2101
waste,2102
watch,2103
water,2104
waterdrop,2105
waterski,2106
wave,2107
way,2108
we,2109
weak,2110
wear,2111
weather,2112
weave,2113
wedding,2114
wednesday,2115
week,2116
weekend,2117
weigh,2118
weight,2119
weird,2120
welcome,2121
well,2122
well-nigh,2123
west,2124
wet,2125
wewillsee,2126
whale,2127
what,2128
whatever,2129
whatfor,2130
wheel,2131
wheelbarrow,2132
wheelchair,2133
when,2134
where,2135
which,2136
while,2137
whip,2138
whisper,2139
whistle,2140
white,2141
whiteperson,2142
who,2143
whole,2144
whole lot,2145
whole slew,2146
why,2147
wide,2148
wife,2149
will,2150
willgo,2151
win,2152
wind,2153
windmill,2154
window,2155
windy,2156
wine,2157
wink,2158
winter,2159
wise,2160
wish,2161
witch,2162
with,2163
without,2164
wolf,2165
woman,2166
wonder,2167
wood,2168
word,2169
work,2170
workout,2171
workshop,2172
world,2173
worm,2174
worry,2175
worse,2176
wow,2177
wrap,2178
wrapup,2179
wrestle,2180
wring,2181
wristwatch,2182
write,2183
writeonwall,2184
wrong,2185
x,2186
y,2187
yawn,2188
yay,2189
yeah,2190
year,2191
yellow,2192
yes,2193
yesterday,2194
you,2195
young,2196
your,2197
yourself,2198
yoyo,2199
yucky,2200
z,2201
zebra,2202
zero,2203
zipper,2204
zoo,2205
zoomoff,2206